FID1	IID1	FID2	IID2	MOST_LIKELY_REL	LIKELIHOOD_VECTOR	IBD0	IBD1	IBD2	PI_HAT	-1	POSSIBLE_RELS	LIKELIHOOD_CUTOFF
0	id3	0	id14	UN	0,4.04568136411392e-51,1.2021878588324e-05,0.000480202323138203,0.0409167901190832,0.95859098567919	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id3	0	id15	HAG	0,6.98845474051605e-06,0.900439473523325,0.0995506090202787,2.92900165567856e-06,9.40421821890806e-134	0.477	0.522	0.0	0.2613	-1	HAG	0.3
0	id3	0	id16	HAG	0,2.09653458897557e-05,0.963828995219368,0.0361498106976311,2.28737111083423e-07,2.32881204378445e-172	0.434	0.565	0.0	0.2828	-1	HAG	0.3
0	id3	0	id17	HAG	0,7.25857462393876e-06,0.902564070532117,0.0974259025531024,2.76834015708115e-06,1.3540429475394e-134	0.476	0.523	0.0	0.2616	-1	HAG	0.3
0	id3	0	id18	UN	0,4.04568136411392e-51,1.2021878588324e-05,0.000480202323138203,0.0409167901190832,0.95859098567919	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id3	0	id19	HAG	3.02572506034847e-184,0.000111416196975748,0.998717278200248,0.00117130552578356,7.69931012524959e-11,4.52435822199821e-301	0.318	0.681	0.0	0.3408	-1	HAG	0.3
0	id3	0	id20	HAG	0,3.33616662836459e-09,0.535179111100514,0.464488718295334,0.000332167267985457,7.29596112831466e-65	0.574	0.425	0.0	0.2126	-1	HAG,CGH	0.3
0	id4	0	id5	HAG	1.27206415433789e-250,0.352483009948425,4.4877724805735274e-15,1.5274694318812008e-12,1.8507094219993208e-09,0.3524830080961836	0.366	0.555	0.078	0.3559	-1	FS,HAG	0.3
0	id4	0	id6	UN	0.0,4.04568136411392e-51,5.1509141998710885e-65,1.7531778742168981e-62,2.124181991088951e-59,4.0456813428545164e-51	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id4	0	id7	HAG	0.0,1.14801631989902e-05,1.461640952820491e-19,4.974877233634255e-17,6.02765114879434e-14,1.1480163138663796e-05	0.462	0.537	0.0	0.2685	-1	HAG	0.3
0	id4	0	id8	HAG	0.0,6.92149096387503e-07,8.812361350635318e-21,2.9993970662382123e-18,3.6341236824438786e-15,6.921490927503711e-07	0.519	0.48	0.0	0.2401	-1	HAG	0.3
0	id4	0	id9	HAG	0.0,8.68056799688667e-06,1.105199765723585e-19,3.7616852090155083e-17,4.5577257702419864e-14,8.680567951271686e-06	0.471	0.528	0.0	0.2643	-1	HAG	0.3
0	id4	0	id10	UN	0,4.04568136411392e-51,1.2021878588324e-05,0.000480202323138203,0.0409167901190832,0.95859098567919	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id4	0	id14	UN	0,4.04568136411392e-51,1.2021878588324e-05,0.000480202323138203,0.0409167901190832,0.95859098567919	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id4	0	id15	HAG	0,3.7958324017891e-06,0.866811483479545,0.13317836684762,6.35384043281548e-06,2.99107426077665e-122	0.491	0.508	0.0	0.2543	-1	HAG	0.3
0	id4	0	id16	HAG	0,7.44110906090683e-07,0.780610674715441,0.219362590346335,2.59908273180512e-05,1.49660669247544e-101	0.518	0.481	0.0	0.241	-1	HAG	0.3
0	id4	0	id17	HAG	0,4.27009664542215e-08,0.642140443752543,0.357735544496744,0.000123969049746562,6.5289404721815e-79	0.551	0.448	0.0	0.2244	-1	HAG,CGH	0.3
0	id4	0	id18	UN	0,4.04568136411392e-51,1.2021878588324e-05,0.000480202323138203,0.0409167901190832,0.95859098567919	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id4	0	id19	CGH	0,2.26468576536095e-10,0.43563861230294,0.563568852170824,0.000792535299767642,9.37040624063097e-53	0.596	0.403	0.0	0.202	-1	HAG,CGH	0.3
0	id4	0	id20	CGH	0,1.19784519359646e-16,0.0969561767045014,0.849362000132024,0.0536815036665332,3.19496940934494e-07	0.728	0.271	0.0	0.1359	-1	CGH	0.3
0	id5	0	id6	UN	0.0,4.04568136411392e-51,5.150914199871089e-65,1.7531778742168988e-62,2.1241819910889514e-59,4.0456813428545164e-51	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id5	0	id7	HAG	0.0,9.58432514155074e-06,1.2202650684678358e-19,4.15332431429574e-17,5.0322427868419426e-14,9.584325091186657e-06	0.468	0.531	0.0	0.2656	-1	HAG	0.3
0	id5	0	id8	HAG	0.0,7.53367908933329e-06,9.591792112629174e-20,3.264686044735609e-17,3.9555526023760707e-14,7.533679049745021e-06	0.475	0.524	0.0	0.2621	-1	HAG	0.3
0	id5	0	id9	HAG	0.0,9.58432514155074e-06,1.2202650684678355e-19,4.15332431429574e-17,5.032242786841943e-14,9.584325091186657e-06	0.468	0.531	0.0	0.266	-1	HAG	0.3
0	id5	0	id10	UN	0,4.04568136411392e-51,1.2021878588324e-05,0.000480202323138203,0.0409167901190832,0.95859098567919	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id5	0	id11	HAG	0,1.37249613913702e-06,0.81245644275605,0.187525724283168,1.64604646433317e-05,3.10989921955211e-108	0.509	0.49	0.0	0.2452	-1	HAG	0.3
0	id5	0	id12	HAG	0,5.97278725565505e-07,0.76934184296932,0.230627382022728,3.01777292264259e-05,2.26054632609507e-99	0.521	0.478	0.0	0.2393	-1	HAG	0.3
0	id5	0	id13	HAG	0,7.53367908933329e-06,0.904653018987251,0.0953368312189792,2.61611468048886e-06,1.93760797818552e-135	0.475	0.524	0.0	0.2621	-1	HAG	0.3
