id1	id6	134721007	135520145	1.01794	3
id9	id9	139815067	141950843	3.08612	3
id7	id7	139815067	141950843	3.08612	3
id5	id20	139815067	141950843	3.08612	3
id5	id19	139815067	141950843	3.08612	3
id3	id20	139815067	141950843	3.08612	3
id3	id19	139815067	141950843	3.08612	3
id1	id8	139815067	141950843	3.08612	3
id5	id6	138466043	141950843	3.97524	3
id3	id6	138466043	141950843	3.97524	3
id1	id6	138466043	141950843	3.97524	3
id1	id20	139815067	141950843	3.08612	3
id1	id19	139815067	141950843	3.08612	3
id1	id9	15415329	143675649	119.533	3
id2	id16	118830497	144233347	24.9638	3
id8	id16	117830820	144233347	25.5317	3
id4	id16	79759287	144233347	48.3053	3
id15	id16	19435	144233347	154.43	3
id9	id20	123905405	151921977	29.1174	3
id9	id19	123905405	151921977	29.1174	3
id8	id20	123905405	151921977	29.1174	3
id8	id19	123905405	151921977	29.1174	3
id7	id8	123905405	151921977	29.1174	3
id7	id9	15415329	151921977	129.335	3
id6	id20	19435	165501356	171.86	3
id19	id20	57560266	169588184	100.8	3
id9	id17	144242774	171972642	23.6238	3
id9	id15	144242774	171972642	23.6238	3
id4	id9	144242774	171972642	23.6238	3
id2	id9	144242774	171972642	23.6238	3
id19	id20	171988026	172343513	1.11276	3
id16	id19	171988026	172343513	1.11276	3
id6	id20	171988026	172343513	1.11276	3
id6	id16	171988026	172343513	1.11276	3
id5	id19	171988026	172343513	1.11276	3
id5	id6	171988026	172343513	1.11276	3
id3	id19	171988026	172343513	1.11276	3
id3	id6	171988026	172343513	1.11276	3
id1	id6	171988026	172343513	1.11276	3
id7	id7	171988026	172343513	1.11276	3
id1	id19	171988026	172343513	1.11276	3
id15	id17	95881410	174199879	72.7174	3
id8	id17	90379136	174199879	73.1894	3
id2	id17	90379136	174199879	73.1894	3
id4	id17	74340253	174199879	80.7549	3
id17	id20	174590222	175562525	1.9941	3
id9	id20	172344822	175562525	5.57394	3
id16	id20	166222215	175562525	12.5506	3
id5	id20	166222215	175562525	12.5506	3
id3	id20	166222215	175562525	12.5506	3
id1	id20	166222215	175562525	12.5506	3
id8	id15	97985590	178098822	78.0714	3
id3	id15	97985590	178098822	78.0714	3
id4	id8	79759287	178098822	82.192	3
id3	id4	79759287	178098822	82.192	3
id5	id8	50186792	178098822	120.078	3
id9	id17	174590222	179529828	6.48337	3
id7	id17	174590222	179529828	6.48337	3
id9	id16	172344822	179529828	10.0632	3
id7	id16	144820159	179529828	34.3941	3
id5	id9	134721007	179529828	43.9537	3
id5	id7	134721007	179529828	43.9537	3
id3	id16	118830497	179529828	59.7703	3
id3	id17	90379136	179529828	80.0913	3
id3	id5	3733477	179529828	179.456	3
id11	id13	110039351	183131776	73.0821	3
