Network	Pedigree	Founder	Network	Pedigree	Founder	degree_related	p_value
full.genome_network12	1	Missing1	NA	F000613	F000613	1	0.0000021849
full.genome_network13	1	Missing1	NA	F000613	F000613	4	<10^-80
full.genome_network1	1	Missing1	NA	F000681	F000681	1	0.0000000000012174
full.genome_network2	1	Missing3	NA	F000681	F000681	1	0.0000000079524
full.genome_network3	1	F024110	NA	F000681	F000681	2	0.000058516
full.genome_network4	1	F024121	NA	F000681	F000681	2	0.00000020216
full.genome_network5	1	F036273	NA	F000681	F000681	6	0.00000000000000000000000000000000000000000000000025595
full.genome_network6	1	Missing1	NA	F000681	F000681	4	<10^-80
full.genome_network7	1	F036314	NA	F000681	F000681	7	0.00000000021937
full.genome_network8	1	Missing1	NA	F000681	F000681	7	0.0000000000000000097962
full.genome_network9	1	Missing1	NA	F000681	F000681	1	0.0000000000000000000000000051004
full.genome_network10	1	F036345	NA	F000681	F000681	6	0.0000000000000000000000000000000000034612
full.genome_network11	1	Missing1	NA	F000681	F000681	1	0.0000000000000000000000080551
full.genome_network12	1	Missing1	NA	F000681	F000681	1	0.0000000000057194
full.genome_network13	1	Missing1	NA	F000681	F000681	1	0.0000000015714
full.genome_network1	1	Missing1	NA	F000686	F000686	1	0.00000015840
full.genome_network2	1	Missing3	NA	F000686	F000686	1	0.00000023678
full.genome_network3	1	F024110	NA	F000686	F000686	2	0.00000012102
full.genome_network4	1	F024121	NA	F000686	F000686	2	0.00036188
full.genome_network5	1	F036273	NA	F000686	F000686	2	0.00000039671
full.genome_network6	1	Missing1	NA	F000686	F000686	7	0.00000000000000092111
full.genome_network7	1	F036314	NA	F000686	F000686	2	0.00000086953
full.genome_network8	1	Missing1	NA	F000686	F000686	1	0.000000032199
full.genome_network9	1	Missing1	NA	F000686	F000686	1	0.0000016819
full.genome_network10	1	F036345	NA	F000686	F000686	2	0.0056961
full.genome_network11	1	Missing1	NA	F000686	F000686	1	0.0000000000000040260
full.genome_network12	1	Missing1	NA	F000686	F000686	1	0.0000039899
full.genome_network13	1	Missing1	NA	F000686	F000686	1	0.00000010731
full.genome_network1	1	Missing1	NA	F000873	F000873	1	0.0000000091775
full.genome_network2	1	Missing3	NA	F000873	F000873	1	0.000000034409
full.genome_network3	1	F024110	NA	F000873	F000873	2	0.0027721
full.genome_network4	1	F024121	NA	F000873	F000873	2	0.00000011924
full.genome_network5	1	F036273	NA	F000873	F000873	2	0.00023247
full.genome_network6	1	Missing1	NA	F000873	F000873	1	0.000016760
full.genome_network7	1	F036314	NA	F000873	F000873	2	0.000015895
full.genome_network8	1	Missing1	NA	F000873	F000873	7	0.000000000000000000015686
full.genome_network9	1	Missing1	NA	F000873	F000873	7	0.000000000000000000000000000000000019863
full.genome_network10	1	F036345	NA	F000873	F000873	8	0.000000000000000000000082182
full.genome_network11	1	Missing1	NA	F000873	F000873	7	0.000000000084454
full.genome_network12	1	Missing1	NA	F000873	F000873	1	0.00000033191
full.genome_network13	1	Missing1	NA	F000873	F000873	7	0.0000000000000079737
full.genome_network1	1	Missing1	NA	F001927	F001927	1	0.000000000000060670
full.genome_network2	1	Missing3	NA	F001927	F001927	1	0.00000000000016568
full.genome_network3	1	F024110	NA	F001927	F001927	2	0.00000077591
full.genome_network4	1	F024121	NA	F001927	F001927	2	0.0000069618
full.genome_network5	1	F036273	NA	F001927	F001927	2	0.000079942
full.genome_network6	1	Missing1	NA	F001927	F001927	1	0.0000023357
full.genome_network7	1	F036314	NA	F001927	F001927	2	0.00047609
full.genome_network8	1	Missing1	NA	F001927	F001927	1	0.00000000092800
full.genome_network9	1	Missing1	NA	F001927	F001927	1	0.00000054738
full.genome_network10	1	F036345	NA	F001927	F001927	2	0.0000053423
full.genome_network11	1	Missing1	NA	F001927	F001927	1	0.0000000000060188
full.genome_network12	1	Missing1	NA	F001927	F001927	1	0.0000000013357
full.genome_network13	1	Missing1	NA	F001927	F001927	1	0.00000000088028
full.genome_network1	1	Missing1	NA	F002407	F002407	1	0.000000096675
full.genome_network2	1	Missing3	NA	F002407	F002407	1	0.000041713
full.genome_network3	1	F024110	NA	F002407	F002407	2	0.000018872
full.genome_network4	1	F024121	NA	F002407	F002407	2	0.000010882
full.genome_network5	1	F036273	NA	F002407	F002407	5	0.00000000000000000000000000000000000000000000000000000000045453
full.genome_network6	1	Missing1	NA	F002407	F002407	6	0.000000000000000000000000000000000029475
full.genome_network7	1	F036314	NA	F002407	F002407	7	0.0000000029647
full.genome_network8	1	Missing1	NA	F002407	F002407	7	0.0000000000000000026125
full.genome_network9	1	Missing1	NA	F002407	F002407	7	0.00000000000000000000000015964
