Network	Pedigree	Founder	Network	Pedigree	Founder	degree_related
full.genome_network11	1	all	NA	F002720	all	UN
full.genome_network12	1	all	NA	F002720	all	UN
full.genome_network13	1	all	NA	F002720	all	UN
full.genome_network1	1	Missing1	NA	F002733	F002733	8
full.genome_network2	1	Missing3	NA	F002733	F002733	7
full.genome_network3	1	Missing4	NA	F002733	F002733	8
full.genome_network4	2	Missing2	NA	F002733	F002733	7
full.genome_network5	1	Missing2	NA	F002733	F002733	8
full.genome_network6	1	Missing1	NA	F002733	F002733	7
full.genome_network7	1	all	NA	F002733	all	UN
full.genome_network8	1	Missing1	NA	F002733	F002733	6
full.genome_network9	1	all	NA	F002733	all	UN
full.genome_network10	1	F036345	NA	F002733	F002733	8
full.genome_network11	1	Missing4	NA	F002733	F002733	7
full.genome_network12	1	Missing1	NA	F002733	F002733	7
full.genome_network13	1	all	NA	F002733	all	UN
full.genome_network1	1	Missing1	NA	F002981	F002981	8
full.genome_network2	1	F021340	NA	F002981	F002981	9
full.genome_network3	1	all	NA	F002981	all	UN
full.genome_network4	1	all	NA	F002981	all	UN
full.genome_network5	2	Missing4	NA	F002981	F002981	8
full.genome_network6	1	Missing1	NA	F002981	F002981	8
full.genome_network7	1	Missing2	NA	F002981	F002981	8
full.genome_network8	1	all	NA	F002981	all	UN
full.genome_network9	1	all	NA	F002981	all	UN
full.genome_network10	1	all	NA	F002981	all	UN
full.genome_network11	1	all	NA	F002981	all	UN
full.genome_network12	1	all	NA	F002981	all	UN
full.genome_network13	1	all	NA	F002981	all	UN
full.genome_network1	1	Missing1	NA	F003017	F003017	8
full.genome_network2	1	Missing8	NA	F003017	F003017	8
full.genome_network3	1	all	NA	F003017	all	UN
full.genome_network4	1	all	NA	F003017	all	UN
full.genome_network5	1	Missing2	NA	F003017	F003017	8
full.genome_network6	1	Missing1	NA	F003017	F003017	6
full.genome_network7	1	all	NA	F003017	all	UN
full.genome_network8	1	all	NA	F003017	all	UN
full.genome_network9	1	Missing1	NA	F003017	F003017	8
full.genome_network10	1	F036345	NA	F003017	F003017	7
full.genome_network11	1	all	NA	F003017	all	UN
full.genome_network12	1	all	NA	F003017	all	UN
full.genome_network13	1	all	NA	F003017	all	UN
full.genome_network1	1	all	NA	F003038	all	UN
full.genome_network2	1	all	NA	F003038	all	UN
full.genome_network3	2	F024110	NA	F003038	F003038	8
